                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.0101,                0.93514,                      1,                 1.3162,               0.005248,               0.005248,               0.005248
                     51,                0.01053,                0.92973,                0.99459,                 1.3203,               0.005149,               0.005149,               0.005149
                     52,                0.01054,                0.94595,                      1,                 1.3184,                0.00505,                0.00505,                0.00505
                     53,                0.01004,                0.92432,                      1,                 1.3244,               0.004951,               0.004951,               0.004951
                     54,                0.00841,                0.92432,                      1,                 1.3232,               0.004852,               0.004852,               0.004852
                     55,                0.00848,                0.92432,                      1,                 1.3234,               0.004753,               0.004753,               0.004753
                     56,                 0.0071,                0.92432,                      1,                 1.3226,               0.004654,               0.004654,               0.004654
                     57,                0.00794,                0.94054,                      1,                 1.3206,               0.004555,               0.004555,               0.004555
                     58,                0.00694,                0.92432,                      1,                 1.3272,               0.004456,               0.004456,               0.004456
                     59,                0.00787,                0.90811,                      1,                 1.3299,               0.004357,               0.004357,               0.004357
                     60,                0.00599,                0.90811,                      1,                 1.3322,               0.004258,               0.004258,               0.004258
                     61,                0.00678,                0.90811,                      1,                 1.3286,               0.004159,               0.004159,               0.004159
                     62,                0.00571,                0.91351,                      1,                 1.3297,                0.00406,                0.00406,                0.00406
                     63,                0.00526,                0.91892,                      1,                 1.3263,               0.003961,               0.003961,               0.003961
                     64,                0.00575,                0.91892,                      1,                 1.3245,               0.003862,               0.003862,               0.003862
                     65,                0.00618,                0.91892,                      1,                 1.3302,               0.003763,               0.003763,               0.003763
                     66,                0.00582,                0.92973,                      1,                 1.3257,               0.003664,               0.003664,               0.003664
                     67,                0.00599,                0.93514,                      1,                  1.321,               0.003565,               0.003565,               0.003565
                     68,                0.00486,                0.94054,                      1,                 1.3184,               0.003466,               0.003466,               0.003466
                     69,                0.00532,                0.94054,                      1,                 1.3187,               0.003367,               0.003367,               0.003367
                     70,                0.00456,                0.92973,                      1,                 1.3216,               0.003268,               0.003268,               0.003268
                     71,                 0.0044,                0.92432,                      1,                 1.3226,               0.003169,               0.003169,               0.003169
                     72,                0.00492,                0.92973,                      1,                 1.3232,                0.00307,                0.00307,                0.00307
                     73,                0.00535,                0.93514,                      1,                 1.3216,               0.002971,               0.002971,               0.002971
                     74,                0.00553,                0.93514,                      1,                  1.319,               0.002872,               0.002872,               0.002872
                     75,                0.00428,                0.94054,                      1,                 1.3201,               0.002773,               0.002773,               0.002773
                     76,                0.00418,                0.94054,                      1,                  1.319,               0.002674,               0.002674,               0.002674
                     77,                0.00424,                0.93514,                      1,                 1.3184,               0.002575,               0.002575,               0.002575
                     78,                0.00488,                0.94054,                      1,                  1.318,               0.002476,               0.002476,               0.002476
                     79,                0.00335,                0.94595,                      1,                 1.3177,               0.002377,               0.002377,               0.002377
                     80,                  0.004,                0.93514,                      1,                  1.319,               0.002278,               0.002278,               0.002278
                     81,                0.00333,                0.94054,                      1,                 1.3187,               0.002179,               0.002179,               0.002179
                     82,                0.00356,                0.94595,                      1,                 1.3177,                0.00208,                0.00208,                0.00208
                     83,                0.00341,                0.94595,                      1,                 1.3171,               0.001981,               0.001981,               0.001981
                     84,                0.00283,                0.95135,                      1,                 1.3171,               0.001882,               0.001882,               0.001882
                     85,                0.00329,                0.95135,                      1,                 1.3174,               0.001783,               0.001783,               0.001783
                     86,                0.00364,                0.95135,                      1,                 1.3172,               0.001684,               0.001684,               0.001684
                     87,                  0.003,                0.94054,                      1,                 1.3175,               0.001585,               0.001585,               0.001585
                     88,                0.00306,                0.94595,                      1,                 1.3166,               0.001486,               0.001486,               0.001486
                     89,                0.00423,                0.94595,                      1,                 1.3162,               0.001387,               0.001387,               0.001387
                     90,                0.00293,                0.94595,                      1,                 1.3166,               0.001288,               0.001288,               0.001288
                     87,                0.00305,                0.95135,                      1,                 1.3172,               0.001585,               0.001585,               0.001585
                     88,                0.00315,                0.95135,                      1,                 1.3184,               0.001486,               0.001486,               0.001486
                     89,                0.00274,                0.94054,                      1,                 1.3192,               0.001387,               0.001387,               0.001387
                     90,                0.00241,                0.93514,                      1,                 1.3197,               0.001288,               0.001288,               0.001288
                     89,                0.00377,                0.95135,                      1,                0.79109,               0.001387,               0.001387,               0.001387
                     90,                0.00426,                0.93514,                      1,                0.79159,               0.001288,               0.001288,               0.001288
                     90,                0.00227,                0.94595,                      1,                0.79109,               0.001288,               0.001288,               0.001288
