                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43861,                0.28684,                0.74737,                  1.051,              0.0033321,              0.0033321,              0.0033321
                      2,                0.21968,                0.76053,                0.95526,                 0.9314,              0.0065994,              0.0065994,              0.0065994
                      3,                0.12337,                0.82368,                0.98158,                0.89431,              0.0098008,              0.0098008,              0.0098008
                      4,                0.09641,                0.81579,                0.98158,                 0.8868,               0.009703,               0.009703,               0.009703
